Brand_Name,Category,Country,Revenue_USD_Million,Transparency_Score_2024,Market_Share_Percent,Sustainability_Rating,Carbon_Footprint_MT,Water_Usage_Liters,Waste_Production_KG,Sustainable_Material_Percent,Renewable_Energy_Ratio,Production_Process,Consumer_Engagement_Score,Material_Type,Annual_Units_Million,Carbon_Intensity_MT_per_USD_Million,Water_Intensity_L_per_USD_Million,Waste_Intensity_KG_per_USD_Million
Nike,Sportswear,USA,51200,45,2.5,Moderate,5180000,32000000000,410000000,25,35,Recycled,7,Polyester,780,101.17,625000,8007
Adidas,Sportswear,Germany,23800,55,2.0,Good,3100000,18000000000,250000000,35,48,Organic,8,Cotton,520,130.25,756302,10504
Puma,Athletic,Germany,8500,55,1.5,Good,1200000,7000000000,95000000,40,60,Recycled,8,Organic Cotton,210,141.18,823529,11176
Zara,Fast Fashion,Spain,35600,65,13.0,Moderate,4600000,29000000000,380000000,20,30,Standard,6,Cotton,1200,129.21,814607,10674
H&M,Fast Fashion,Sweden,22300,66,16.0,Moderate,5200000,34000000000,450000000,25,35,Standard,7,Cotton,1100,233.18,1524663,20179
Uniqlo,Fast Fashion,Japan,19000,35,8.0,Poor,4300000,26000000000,390000000,15,18,Standard,5,Polyester,950,226.32,1368421,20526
Levi's,Denim,USA,6200,40,1.2,Moderate,1100000,6000000000,80000000,30,40,Organic,6,Denim,180,177.42,967742,12903
Tommy Hilfiger,Premium,USA,9500,52,2.8,Moderate,1300000,7500000000,110000000,22,28,Standard,6,Cotton,240,136.84,789474,11579
Louis Philippe,Premium,India,1200,30,0.8,Poor,420000,2500000000,35000000,10,15,Standard,4,Polyester,65,350.00,2083333,29167
Gucci,Luxury,Italy,13000,56,3.5,Good,1050000,5000000000,75000000,45,55,Premium,9,Leather,95,80.77,384615,5769
Chanel,Luxury,France,17000,25,2.8,Poor,2500000,14000000000,180000000,8,12,Standard,3,Silk,120,147.06,823529,10588
Hermès,Luxury,France,11500,30,2.2,Poor,1700000,9000000000,120000000,10,18,Standard,4,Leather,85,147.83,782609,10435
Dior,Luxury,France,9000,28,2.0,Poor,2100000,12000000000,160000000,8,10,Standard,3,Silk,80,233.33,1333333,17778
Prada,Luxury,Italy,4800,32,1.8,Poor,950000,5200000000,70000000,12,20,Standard,4,Leather,70,197.92,1083333,14583
Ralph Lauren,Premium,USA,6500,42,1.5,Moderate,1150000,6800000000,90000000,25,30,Standard,6,Cotton,150,176.92,1046154,13846
Under Armour,Athletic,USA,5800,38,1.0,Poor,1050000,6200000000,85000000,18,22,Standard,5,Polyester,160,181.03,1068966,14655
Lululemon,Athletic,Canada,8100,35,0.8,Poor,1300000,7500000000,95000000,20,25,Organic,5,Polyester,190,160.49,925926,11728
Supreme,Streetwear,USA,1200,15,0.5,Very Poor,480000,2800000000,40000000,5,8,Standard,2,Polyester,40,400.00,2333333,33333
Love_Bonito,Southeast_Asian,Singapore,350,25,0.3,Poor,180000,950000000,15000000,12,10,Standard,4,Cotton,22,514.29,2714286,42857
Delta_Galil,Private_Label,Israel,2000,20,0.7,Very Poor,900000,5200000000,80000000,8,12,Standard,3,Polyester,130,450.00,2600000,40000
Gap,Fast_Fashion,USA,15000,38,2.0,Poor,2500000,15000000000,200000000,18,20,Standard,5,Cotton,600,166.67,1000000,13333
Forever_21,Fast_Fashion,USA,4000,25,6.0,Poor,1800000,11000000000,150000000,12,15,Standard,4,Polyester,350,450.00,2750000,37500
Mango,Fast_Fashion,Spain,5000,45,1.5,Moderate,900000,5200000000,70000000,25,32,Standard,6,Cotton,210,180.00,1040000,14000
JCrew,Premium,USA,2800,40,1.2,Moderate,650000,3800000000,50000000,20,22,Standard,6,Cotton,95,232.14,1357143,17857
Levi_Strauss_Co,Denim,USA,6200,42,1.3,Moderate,1150000,6200000000,82000000,28,42,Organic,6,Denim,180,185.48,1000000,13226
Abercrombie_Fitch,Premium,USA,3800,35,0.9,Poor,950000,5500000000,75000000,15,18,Standard,5,Cotton,140,250.00,1447368,19737
Calvin_Klein,Premium,USA,9000,53,2.0,Good,1100000,6500000000,90000000,35,45,Organic,7,Cotton,200,122.22,722222,10000
Diesel,Denim,Italy,2200,30,0.8,Poor,720000,4200000000,55000000,12,18,Standard,4,Denim,75,327.27,1909091,25000
Marks_Spencer,Department_Store,UK,15000,48,1.8,Moderate,1600000,9000000000,120000000,30,38,Organic,7,Cotton,400,106.67,600000,8000
